ido_word,esperanto_word,in_current_dict
"Bloomington, Indiana",Bloomington (Indianio),False
Bo Derek,Bo Derek,False
Bo Diddley,Bo Diddley,False
Bob Barker,Bob Barker,False
Bob Dylan,Bob Dylan,False
Bob Hawke,Bob Hawke,False
Bob Hoskins,Bob Hoskins,False
Bob Marley,Bob Marley,False
Bob Saget,Bob Saget,False
Bobby Fischer,Bobby Fischer,False
"Boise, Idaho",Boise (Idaho),False
Boko Haram,Boko Haram,False
Bolesław Bierut,Bolesław Bierut,False
Bolesław Prus,Bolesław Prus,False
Boney M.,Boney M,False
"Bonifacio, Corse-du-Sud",Bonifacio,False
Bonneville International,Bonneville International,False
Bonnie Tyler,Bonnie Tyler,False
Boris Akunin,Boris Akunin,False
Boris Becker,Boris Becker,False
